work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,job_type,company_location,company_size
2020,Mid,Full-time,Data Scientist,70000,EUR,79833,Germany,onsite,Germany,Large
2020,Senior,Full-time,Machine Learning Scientist,260000,USD,260000,Japan,onsite,Japan,Small
2020,Senior,Full-time,Big Data Engineer,85000,GBP,109024,United Kingdom,hybrid,United Kingdom,Medium
2020,Mid,Full-time,Product Data Analyst,20000,USD,20000,Honduras,onsite,Honduras,Small
2020,Senior,Full-time,Machine Learning Engineer,150000,USD,150000,United States,hybrid,United States,Large
2020,Entry,Full-time,Data Analyst,72000,USD,72000,United States,remote,United States,Large
2020,Senior,Full-time,Lead Data Scientist,190000,USD,190000,United States,remote,United States,Small
2020,Mid,Full-time,Data Scientist,11000000,HUF,35735,Hungary,hybrid,Hungary,Large
2020,Mid,Full-time,Business Data Analyst,135000,USD,135000,United States,remote,United States,Large
2020,Senior,Full-time,Lead Data Engineer,125000,USD,125000,New Zealand,hybrid,New Zealand,Small
2020,Entry,Full-time,Data Scientist,45000,EUR,51321,France,onsite,France,Small
2020,Mid,Full-time,Data Scientist,3000000,INR,40481,India,onsite,India,Large
2020,Entry,Full-time,Data Scientist,35000,EUR,39916,France,onsite,France,Medium
2020,Mid,Full-time,Lead Data Analyst,87000,USD,87000,United States,remote,United States,Large
2020,Mid,Full-time,Data Analyst,85000,USD,85000,United States,remote,United States,Large
2020,Mid,Full-time,Data Analyst,8000,USD,8000,Pakistan,hybrid,Pakistan,Large
2020,Entry,Full-time,Data Engineer,4450000,JPY,41689,Japan,remote,Japan,Small
2020,Senior,Full-time,Big Data Engineer,100000,EUR,114047,Poland,remote,United Kingdom,Small
2020,Entry,Full-time,Data Science Consultant,423000,INR,5707,India,hybrid,India,Medium
2020,Mid,Full-time,Lead Data Engineer,56000,USD,56000,Portugal,remote,United States,Medium
2020,Mid,Full-time,Machine Learning Engineer,299000,CNY,43331,China,onsite,China,Medium
2020,Mid,Full-time,Product Data Analyst,450000,INR,6072,India,remote,India,Large
2020,Senior,Full-time,Data Engineer,42000,EUR,47899,Greece,hybrid,Greece,Large
2020,Mid,Full-time,BI Data Analyst,98000,USD,98000,United States,onsite,United States,Medium
2020,Mid,Full-time,Lead Data Scientist,115000,USD,115000,United Arab Emirates,onsite,United Arab Emirates,Large
2020,Executive,Full-time,Director of Data Science,325000,USD,325000,United States,remote,United States,Large
2020,Entry,Full-time,Research Scientist,42000,USD,42000,Netherlands,hybrid,Netherlands,Large
2020,Senior,Full-time,Data Engineer,720000,MXN,33511,Mexico,onsite,Mexico,Small
2020,Entry,Contract,Business Data Analyst,100000,USD,100000,United States,remote,United States,Large
2020,Senior,Full-time,Machine Learning Manager,157000,CAD,117104,Canada,hybrid,Canada,Large
2020,Mid,Full-time,Data Engineering Manager,51999,EUR,59303,Germany,remote,Germany,Small
2020,Entry,Full-time,Big Data Engineer,70000,USD,70000,United States,remote,United States,Large
2020,Senior,Full-time,Data Scientist,60000,EUR,68428,Greece,remote,United States,Large
2020,Mid,Full-time,Research Scientist,450000,USD,450000,United States,onsite,United States,Medium
2020,Mid,Full-time,Data Analyst,41000,EUR,46759,France,hybrid,France,Large
2020,Mid,Full-time,Data Engineer,65000,EUR,74130,Austria,hybrid,Austria,Large
2020,Mid,Full-time,Data Science Consultant,103000,USD,103000,United States,remote,United States,Large
2020,Entry,Full-time,Machine Learning Engineer,250000,USD,250000,United States,hybrid,United States,Large
2020,Entry,Full-time,Data Analyst,10000,USD,10000,Nigeria,remote,Nigeria,Small
2020,Entry,Full-time,Machine Learning Engineer,138000,USD,138000,United States,remote,United States,Small
2020,Mid,Full-time,Data Scientist,45760,USD,45760,Philippines,remote,United States,Small
2020,Executive,Full-time,Data Engineering Manager,70000,EUR,79833,Spain,hybrid,Spain,Large
2020,Mid,Full-time,Machine Learning Infrastructure Engineer,44000,EUR,50180,Portugal,onsite,Portugal,Medium
2020,Mid,Full-time,Data Engineer,106000,USD,106000,United States,remote,United States,Large
2020,Mid,Full-time,Data Engineer,88000,GBP,112872,United Kingdom,hybrid,United Kingdom,Large
2020,Entry,Part-time,ML Engineer,14000,EUR,15966,Germany,remote,Germany,Small
2020,Mid,Full-time,Data Scientist,60000,GBP,76958,United Kingdom,remote,United Kingdom,Small
2020,Senior,Full-time,Data Engineer,188000,USD,188000,United States,remote,United States,Large
2020,Mid,Full-time,Data Scientist,105000,USD,105000,United States,remote,United States,Large
2020,Mid,Full-time,Data Engineer,61500,EUR,70139,France,hybrid,France,Large
2020,Entry,Full-time,Data Analyst,450000,INR,6072,India,onsite,India,Small
2020,Entry,Full-time,Data Analyst,91000,USD,91000,United States,remote,United States,Large
2020,Entry,Full-time,AI Scientist,300000,DKK,45896,Denmark,hybrid,Denmark,Small
2020,Entry,Full-time,Data Engineer,48000,EUR,54742,Pakistan,remote,Germany,Large
2020,Senior,Freelance,Computer Vision Engineer,60000,USD,60000,Russia,remote,United States,Small
2020,Senior,Full-time,Principal Data Scientist,130000,EUR,148261,Germany,remote,Germany,Medium
2020,Mid,Full-time,Data Scientist,34000,EUR,38776,Spain,remote,Spain,Medium
2020,Mid,Full-time,Data Scientist,118000,USD,118000,United States,remote,United States,Medium
2020,Senior,Full-time,Data Scientist,120000,USD,120000,United States,hybrid,United States,Large
2020,Mid,Full-time,Data Scientist,138350,USD,138350,United States,remote,United States,Medium
2020,Mid,Full-time,Data Engineer,110000,USD,110000,United States,remote,United States,Large
2020,Mid,Full-time,Data Engineer,130800,USD,130800,Spain,remote,United States,Medium
2020,Entry,Part-time,Data Scientist,19000,EUR,21669,Italy,hybrid,Italy,Small
2020,Senior,Full-time,Data Scientist,412000,USD,412000,United States,remote,United States,Large
2020,Senior,Full-time,Machine Learning Engineer,40000,EUR,45618,Croatia,remote,Croatia,Small
2020,Entry,Full-time,Data Scientist,55000,EUR,62726,Germany,hybrid,Germany,Small
2020,Entry,Full-time,Data Scientist,43200,EUR,49268,Germany,onsite,Germany,Small
2020,Senior,Full-time,Data Science Manager,190200,USD,190200,United States,remote,United States,Medium
